Question,Timestamp,Your Brands Mentioned,Competitor Brands Mentioned,Your Brand Count,Competitor Count,Total Mentions,Has Your Brands,Has Competitors
What’s the best Coca-Cola pack size for stocking up before Thanksgiving guests arrive?,2025-11-18T12:19:06.203994,coca-cola,,3,0,3,True,False
Are there any Coke holiday-themed bundles or limited-edition flavors for Christmas?,2025-11-18T12:19:20.539282,"coca-cola, coke",,3,0,3,True,False
Which zero-sugar soda is popular for holiday parties?,2025-11-18T12:19:34.804415,,,0,0,0,False,False
I need 2-liter sodas for Thanksgiving dinner — which ones stay fizzy the longest?,2025-11-18T12:19:49.139230,,,0,0,0,False,False
What’s a good vanilla soda for making holiday mocktails?,2025-11-18T12:20:03.458843,,,0,0,0,False,False
Which soft drinks come in festive packaging for the holiday season?,2025-11-18T12:20:17.782664,,,0,0,0,False,False
What’s the best deal on soda can 12-packs for Christmas gatherings?,2025-11-18T12:20:32.086911,,,0,0,0,False,False
Which flavored sodas pair well with rich holiday meals?,2025-11-18T12:20:46.390158,,,0,0,0,False,False
Are there mini-soda packs good for stocking stuffers or party favors?,2025-11-18T12:21:00.706518,,,0,0,0,False,False
What’s a good diet soda option for a big Thanksgiving crowd?,2025-11-18T12:21:15.016384,,,0,0,0,False,False
Are there any creamy vanilla sodas that work well in holiday dessert recipes?,2025-11-18T12:21:29.497128,,,0,0,0,False,False
Which cold brew coffee is best for serving with Thanksgiving breakfast?,2025-11-18T12:21:43.892412,,,0,0,0,False,False
Are there any holiday-edition Frappuccino or bottled coffee drinks?,2025-11-18T12:21:58.431775,,,0,0,0,False,False
What’s a good iced coffee to keep on hand for holiday houseguests?,2025-11-18T12:22:12.842758,,,0,0,0,False,False
Which mocha drinks come in holiday flavors?,2025-11-18T12:22:27.379264,,,0,0,0,False,False
Is there a super coffee flavor that works well as a Christmas morning pick-me-up?,2025-11-18T12:22:41.714544,,,0,0,0,False,False
What’s the best vanilla flavor coffee drink for holiday lattes?,2025-11-18T12:22:56.230216,,,0,0,0,False,False
Which cold brew brands offer seasonal blends for the holidays?,2025-11-18T12:23:10.607938,,,0,0,0,False,False
Are there coffee drinks that make good last-minute Christmas gifts?,2025-11-18T12:23:24.995184,,,0,0,0,False,False
What’s a good flavored cola or coffee to use in holiday recipes?,2025-11-18T12:23:39.346016,,,0,0,0,False,False
